"serie" , "linear.f0" , "linear.f0.se" , "linear.f0.p" , "linear.C0" , "linear.AIC" , "linear.AICc" , "linear.RSE" , "linear.r" , "linear.diagnostics" , "robust.linear.f0" , "robust.linear.f0.se" , "robust.linear.f0.p" , "robust.linear.C0" , "robust.linear.weights" , "robust.linear.diagnostics" , "HMR.f0" , "HMR.f0.se" , "HMR.f0.p" , "HMR.kappa" , "HMR.phi" , "HMR.AIC" , "HMR.AICc" , "HMR.RSE" , "HMR.diagnostics" , "kappa.max" , "flux" , "flux.se" , "flux.p" , "method"
"ID163" , 0.183634270024839 , 0.0193227361340878 , 2.52984667751563e-06 , 0.296418219096351 , -85.9533851697724 , -82.9533851697724 , 0.00574647415004419 , 0.948849907096327 , "" , 0.165969291015057 , 0.012659024239195 , 1.46338403268639e-07 , 0.298770325204542 , "1|1|1|1|0.35|1|0.64|1|1|1|1|0.28" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , 4.76072906899395 , 0.165969291015057 , 0.012659024239195 , 1.46338403268639e-07 , "robust linear"
"ID211" , 0.0444387539271283 , 0.0202356430870969 , 0.079487052898652 , 0.291066602418489 , -52.422208562176 , -44.422208562176 , 0.00441072011181722 , 0.700695857986665 , "" , 0.0392204071180517 , 0.013472404310406 , 0.0294517373290887 , 0.292579733533864 , "1|1|0.34|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , 1.15207726521924 , 0.0392204071180517 , 0.013472404310406 , 0.0294517373290887 , "robust linear"
"ID212" , 0.138659141689698 , 0.0726272911583814 , 0.114505495422961 , 0.315305507450457 , -34.4995903781568 , -26.4995903781568 , 0.0158667381836819 , 0.649331104044263 , "" , 0.236616634604271 , 0.0224302396476321 , 0.000242950865531966 , 0.308550625995531 , "1|1|1|1|1|1|0.13" , "" , 0.553086667430134 , 0.615646413739184 , 0.419770612430218 , 41.7271245037891 , 0.346523034133369 , -34.9874091458011 , -14.9874091458011 , 0.0148514189822671 , "" , 3.59474626623127 , 0.236616634604271 , 0.0224302396476321 , 0.000242950865531966 , "robust linear"
"ID213" , 0.0509823930056673 , 0.0237126166410781 , 0.0842438244892171 , 0.308103756782788 , -49.7180901295508 , -41.7180901295508 , 0.00535049608836298 , 0.693099655326095 , "" , 0.0509823930056673 , 0.0237126166410781 , 0.0842438244892171 , 0.308103756782788 , "1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "step factor 5.82077e-11 reduced below 'minFactor' of 1e-10" , 1.32172148671446 , 0.0509823930056673 , 0.0237126166410781 , 0.0842438244892171 , "robust linear"
"ID214" , 0.0251037391970839 , 0.014226034556763 , 0.0994209166085826 , 0.303534834214884 , -120.730606424165 , -118.730606424165 , 0.00492956619525728 , 0.426559536026382 , "" , 0.0273676712601421 , 0.0151484390812007 , 0.0916681111511811 , 0.303198056644534 , "1|1|1|1|1|0.77|1|1|1|1|1|1|1|0.8|1|1" , "" , 0.0399973094179156 , 0.0783936246507934 , 0.618455618580557 , 11.2003623949128 , 0.314301802761899 , -118.776206311593 , -115.139842675229 , 0.005108368007669 , "" , 0.650815890301057 , 0.0273676712601421 , 0.0151484390812007 , 0.0916681111511811 , "robust linear"
"ID221" , -0.0685170816984378 , 0.0243395277019624 , 0.048069176270959 , 0.307386062417968 , -45.0119881899125 , -33.0119881899125 , 0.00422301903755367 , -0.815203632244925 , "" , -0.0685170816984378 , 0.0243395277019624 , 0.048069176270959 , 0.307386062417968 , "1|1|1|1|1|1" , "" , -0.289182523167597 , 0.150258576474035 , 0.149963755124043 , 55.4110055193893 , 0.294985049100872 , -50.1872810923985 , -10.1872810923985 , 0.00268169818514526 , "" , -1.77630930501297 , -0.0685170816984378 , 0.0243395277019624 , 0.048069176270959 , "robust linear"
"ID222" , -0.0783681851819006 , 0.0235895696591772 , 0.0209586315725558 , 0.274325870630801 , -50.0836905878344 , -42.0836905878344 , 0.00521258015756624 , -0.829587431984155 , "" , -0.0783685499945723 , 0.0289447484157657 , 0.0423019927389512 , 0.274336009227712 , "1|1|1|0.99|1|1|1" , "" , -0.330987644180983 , 0.164632813677462 , 0.114738770933977 , 46.6103651554923 , 0.257570722447172 , -54.6451692705531 , -34.6451692705531 , 0.00364723626039257 , "" , -2.03169973245903 , -0.0783685499945723 , 0.0289447484157657 , 0.0423019927389512 , "robust linear"
"ID223" , -0.0743601457151925 , 0.025226976278636 , 0.0319724290818094 , 0.305812913020084 , -48.7997672372362 , -40.7997672372362 , 0.00571322564494249 , -0.796701130549213 , "" , -0.0776661646888057 , 0.0359538987325604 , 0.0830175550018191 , 0.306506094633501 , "1|0.75|0.97|1|1|1|1" , "" , -0.0871678418861078 , 0.113190969025549 , 0.484202346863126 , 4.02691282994817 , 0.237482401700371 , -46.8195967324215 , -26.8195967324215 , 0.006378539539562 , "" , -1.92779107752087 , -0.0776661646888057 , 0.0359538987325604 , 0.0830175550018191 , "robust linear"
"ID224" , -0.0034174380326329 , 0.0113610880490053 , 0.768322347536561 , 0.290485598336548 , -121.72360335275 , -119.541785170932 , 0.00368000357079884 , -0.0831386381686684 , "" , -0.00283670758653309 , 0.0108918983752379 , 0.796432649274353 , 0.290593918189222 , "1|0.44|1|0.48|0.63|1|1|1|0.5|1|0.68|1|1|1|1" , "" , -0.08273930909945 , 0.288095303360401 , 0.778862603171273 , 96.1072053659614 , 0.289615120291288 , -120.329308385287 , -116.329308385287 , 0.00375371084212129 , "" , -0.0885972786084008 , -0.00283670758653309 , 0.0108918983752379 , 0.796432649274353 , "robust linear"
"ID231" , -0.0981254811294972 , 0.0788607998592269 , 0.268540798378602 , 0.312580681117787 , -33.3360861708891 , -25.3360861708891 , 0.017241726811684 , -0.48624816732097 , "" , -0.0826935697181816 , 0.0865757400196539 , 0.391968754827093 , 0.309815782142773 , "0.8|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "Missing value or an infinity produced when evaluating the model" , -2.54390877236056 , -0.0826935697181816 , 0.0865757400196539 , 0.391968754827093 , "robust linear"
